Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
XPLG11,"Renda Variavel","R$ 20,88",15/09/2022,31/08/2022,"0.69 %","0.67 %","R$ 0,72"
VALE3,"(Não atribuído)","R$ 36,58",01/09/2022,11/08/2022,"2.81 %","2.95 %","R$ 2,03"
VALE3,"(Não atribuído)","R$ 23,55",01/09/2022,11/08/2022,"1.81 %","1.90 %","R$ 1,31"
BBAS3,"(Não atribuído)","R$ 4,80",31/08/2022,22/08/2022,"0.59 %","0.50 %","R$ 0,20"
BBAS3,"(Não atribuído)","R$ 11,64",31/08/2022,22/08/2022,"1.44 %","1.20 %","R$ 0,49"
BBAS3,"(Não atribuído)","R$ 0,08",31/08/2022,22/08/2022,"0.01 %","0.01 %","R$ 0,00"
BBAS3,"(Não atribuído)","R$ 0,23",31/08/2022,22/08/2022,"0.03 %","0.02 %","R$ 0,01"
ITSA4,"(Não atribuído)","R$ 1,44",30/08/2022,18/08/2022,"0.10 %","0.12 %","R$ 0,01"
BBSE3,"(Não atribuído)","R$ 30,04",29/08/2022,17/08/2022,"3.96 %","3.55 %","R$ 1,04"
TAEE4,"(Não atribuído)","R$ 9,27",26/08/2022,15/08/2022,"1.20 %","1.11 %","R$ 0,16"
TAEE4,"(Não atribuído)","R$ 17,03",26/08/2022,15/08/2022,"2.21 %","2.04 %","R$ 0,30"
RBFF11,"Renda Variavel","R$ 19,50",15/08/2022,29/07/2022,"0.89 %","0.89 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 21,00",15/08/2022,29/07/2022,"1.02 %","1.10 %","R$ 1,00"
BCFF11,"Renda Variavel","R$ 64,96",12/08/2022,05/08/2022,"0.79 %","0.82 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 31,85",12/08/2022,29/07/2022,"0.64 %","0.67 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 37,68",12/08/2022,29/07/2022,"1.19 %","1.22 %","R$ 0,12"
VISC11,"Renda Variavel","R$ 17,04",12/08/2022,29/07/2022,"0.70 %","0.70 %","R$ 0,71"
XPLG11,"Renda Variavel","R$ 19,44",12/08/2022,29/07/2022,"0.69 %","0.74 %","R$ 0,72"
KLBN4,"(Não atribuído)","R$ 15,30",11/08/2022,01/08/2022,"1.82 %","1.84 %","R$ 0,07"
RBFF11,"Renda Variavel","R$ 18,20",15/07/2022,30/06/2022,"0.92 %","0.98 %","R$ 0,52"
RBVA11,"Renda Variavel","R$ 19,80",15/07/2022,30/06/2022,"1.11 %","1.21 %","R$ 1,10"
BCFF11,"Renda Variavel","R$ 69,60",14/07/2022,07/07/2022,"0.84 %","0.94 %","R$ 0,60"
KNRI11,"Renda Variavel","R$ 28,56",14/07/2022,30/06/2022,"0.59 %","0.65 %","R$ 0,84"
MXRF11,"Renda Variavel","R$ 28,60",14/07/2022,30/06/2022,"0.99 %","1.03 %","R$ 0,10"
VISC11,"Renda Variavel","R$ 13,30",14/07/2022,30/06/2022,"0.69 %","0.69 %","R$ 0,70"
XPLG11,"Renda Variavel","R$ 18,90",14/07/2022,30/06/2022,"0.67 %","0.75 %","R$ 0,70"
B3SA3,"(Não atribuído)","R$ 6,28",08/07/2022,28/06/2022,"0.62 %","0.63 %","R$ 0,07"
B3SA3,"(Não atribuído)","R$ 4,65",08/07/2022,28/06/2022,"0.46 %","0.46 %","R$ 0,05"
RBVA11,"Renda Variavel","R$ 14,72",15/06/2022,31/05/2022,"0.92 %","0.99 %","R$ 0,92"
BCFF11,"Renda Variavel","R$ 49,68",14/06/2022,07/06/2022,"0.74 %","0.85 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 23,52",14/06/2022,31/05/2022,"0.58 %","0.65 %","R$ 0,84"
MXRF11,"Renda Variavel","R$ 27,06",14/06/2022,31/05/2022,"1.08 %","1.11 %","R$ 0,11"
VISC11,"Renda Variavel","R$ 11,20",14/06/2022,31/05/2022,"0.69 %","0.69 %","R$ 0,70"
XPLG11,"Renda Variavel","R$ 17,00",14/06/2022,31/05/2022,"0.64 %","0.71 %","R$ 0,68"
RBFF11,"Renda Variavel","R$ 17,50",13/06/2022,31/05/2022,"0.89 %","0.98 %","R$ 0,50"
BCFF11,"Renda Variavel","R$ 41,58",13/05/2022,06/05/2022,"0.73 %","0.81 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 21,84",13/05/2022,29/04/2022,"0.58 %","0.63 %","R$ 0,84"
MXRF11,"Renda Variavel","R$ 27,06",13/05/2022,29/04/2022,"1.08 %","1.11 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 12,00",13/05/2022,29/04/2022,"0.83 %","0.91 %","R$ 0,48"
RBVA11,"Renda Variavel","R$ 7,36",13/05/2022,29/04/2022,"0.86 %","0.93 %","R$ 0,92"
VINO11,"(Não atribuído)","R$ 7,82",13/05/2022,29/04/2022,"0.57 %","0.66 %","R$ 0,34"
XPLG11,"Renda Variavel","R$ 13,20",13/05/2022,29/04/2022,"0.61 %","0.67 %","R$ 0,66"
MORE11,"(Não atribuído)","R$ 18,90",22/04/2022,13/04/2022,"0.88 %","0.98 %","R$ 0,70"
RBFF11,"Renda Variavel","R$ 7,05",18/04/2022,31/03/2022,"0.76 %","0.90 %","R$ 0,47"
BCFF11,"Renda Variavel","R$ 21,60",14/04/2022,07/04/2022,"0.67 %","0.79 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 21,06",14/04/2022,31/03/2022,"0.56 %","0.61 %","R$ 0,81"
MXRF11,"Renda Variavel","R$ 18,70",14/04/2022,31/03/2022,"0.96 %","1.08 %","R$ 0,10"
RBVA11,"Renda Variavel","R$ 7,36",14/04/2022,31/03/2022,"0.86 %","0.92 %","R$ 0,92"
VINO11,"(Não atribuído)","R$ 7,82",14/04/2022,31/03/2022,"0.57 %","0.68 %","R$ 0,34"
XPLG11,"Renda Variavel","R$ 13,20",14/04/2022,31/03/2022,"0.61 %","0.68 %","R$ 0,66"
MORE11,"(Não atribuído)","R$ 11,90",21/03/2022,14/03/2022,"0.83 %","0.94 %","R$ 0,70"
BCFF11,"Renda Variavel","R$ 21,60",15/03/2022,08/03/2022,"0.67 %","0.81 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 21,06",15/03/2022,25/02/2022,"0.56 %","0.64 %","R$ 0,81"
MXRF11,"Renda Variavel","R$ 16,83",15/03/2022,25/02/2022,"0.86 %","0.98 %","R$ 0,09"
RBFF11,"Renda Variavel","R$ 7,05",15/03/2022,25/02/2022,"0.76 %","0.94 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 7,36",15/03/2022,25/02/2022,"0.86 %","0.98 %","R$ 0,92"
VINO11,"(Não atribuído)","R$ 7,82",15/03/2022,25/02/2022,"0.57 %","0.72 %","R$ 0,34"
XPLG11,"Renda Variavel","R$ 13,20",15/03/2022,25/02/2022,"0.61 %","0.72 %","R$ 0,66"
MORE11,"(Não atribuído)","R$ 11,90",18/02/2022,11/02/2022,"0.83 %","0.92 %","R$ 0,70"
RBFF11,"Renda Variavel","R$ 7,05",15/02/2022,31/01/2022,"0.76 %","0.86 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 7,36",15/02/2022,31/01/2022,"0.86 %","0.93 %","R$ 0,92"
BCFF11,"Renda Variavel","R$ 21,60",14/02/2022,07/02/2022,"0.67 %","0.75 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 21,06",14/02/2022,31/01/2022,"0.56 %","0.64 %","R$ 0,81"
MXRF11,"Renda Variavel","R$ 16,83",14/02/2022,31/01/2022,"0.86 %","0.96 %","R$ 0,09"
VINO11,"(Não atribuído)","R$ 7,82",14/02/2022,31/01/2022,"0.57 %","0.66 %","R$ 0,34"
XPLG11,"Renda Variavel","R$ 12,80",14/02/2022,31/01/2022,"0.59 %","0.65 %","R$ 0,64"
MORE11,"(Não atribuído)","R$ 11,90",20/01/2022,13/01/2022,"0.83 %","0.92 %","R$ 0,70"
BCFF11,"Renda Variavel","R$ 21,71",14/01/2022,07/01/2022,"0.67 %","0.77 %","R$ 0,54"
KNRI11,"Renda Variavel","R$ 22,88",14/01/2022,30/12/2021,"0.60 %","0.66 %","R$ 0,88"
MXRF11,"Renda Variavel","R$ 16,83",14/01/2022,30/12/2021,"0.86 %","0.90 %","R$ 0,09"
RBFF11,"Renda Variavel","R$ 7,05",14/01/2022,30/12/2021,"0.76 %","0.82 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 7,28",14/01/2022,30/12/2021,"0.85 %","0.89 %","R$ 0,91"
VINO11,"(Não atribuído)","R$ 11,50",14/01/2022,30/12/2021,"0.84 %","0.88 %","R$ 0,50"
XPLG11,"Renda Variavel","R$ 12,80",14/01/2022,30/12/2021,"0.59 %","0.63 %","R$ 0,64"
MORE11,"(Não atribuído)","R$ 11,05",20/12/2021,13/12/2021,"0.77 %","0.90 %","R$ 0,65"
RBFF11,"Renda Variavel","R$ 7,05",15/12/2021,30/11/2021,"0.76 %","0.90 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 7,28",15/12/2021,30/11/2021,"0.85 %","0.93 %","R$ 0,91"
BCFF11,"Renda Variavel","R$ 20,00",14/12/2021,07/12/2021,"0.62 %","0.71 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 20,02",14/12/2021,30/11/2021,"0.53 %","0.64 %","R$ 0,77"
MXRF11,"Renda Variavel","R$ 14,96",14/12/2021,30/11/2021,"0.77 %","0.80 %","R$ 0,08"
VINO11,"(Não atribuído)","R$ 12,65",14/12/2021,30/11/2021,"0.92 %","0.99 %","R$ 0,55"
XPLG11,"Renda Variavel","R$ 12,80",14/12/2021,30/11/2021,"0.59 %","0.70 %","R$ 0,64"
MORE11,"(Não atribuído)","R$ 11,05",22/11/2021,12/11/2021,"0.77 %","0.84 %","R$ 0,65"
BCFF11,"Renda Variavel","R$ 17,50",16/11/2021,08/11/2021,"0.60 %","0.74 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 16,17",16/11/2021,29/10/2021,"0.51 %","0.61 %","R$ 0,77"
MXRF11,"Renda Variavel","R$ 16,83",16/11/2021,29/10/2021,"0.86 %","0.90 %","R$ 0,09"
VINO11,"(Não atribuído)","R$ 12,42",16/11/2021,29/10/2021,"0.90 %","0.89 %","R$ 0,54"
XPLG11,"Renda Variavel","R$ 8,32",16/11/2021,29/10/2021,"0.55 %","0.65 %","R$ 0,64"
RBFF11,"Renda Variavel","R$ 4,70",12/11/2021,29/10/2021,"0.71 %","0.84 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 4,95",12/11/2021,29/10/2021,"0.88 %","0.98 %","R$ 0,99"
MORE11,"(Não atribuído)","R$ 11,90",21/10/2021,14/10/2021,"0.83 %","0.86 %","R$ 0,70"
BCFF11,"Renda Variavel","R$ 14,50",15/10/2021,07/10/2021,"0.58 %","0.69 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 12,32",15/10/2021,30/09/2021,"0.51 %","0.56 %","R$ 0,77"
MXRF11,"Renda Variavel","R$ 14,96",15/10/2021,30/09/2021,"0.77 %","0.79 %","R$ 0,08"
RBFF11,"Renda Variavel","R$ 4,70",15/10/2021,30/09/2021,"0.71 %","0.78 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 4,35",15/10/2021,30/09/2021,"0.77 %","0.81 %","R$ 0,87"
VINO11,"(Não atribuído)","R$ 8,45",15/10/2021,30/09/2021,"1.09 %","1.07 %","R$ 0,65"
XPLG11,"Renda Variavel","R$ 8,06",15/10/2021,30/09/2021,"0.54 %","0.61 %","R$ 0,62"
MORE11,"(Não atribuído)","R$ 5,60",21/09/2021,14/09/2021,"0.78 %","0.88 %","R$ 0,70"
BCFF11,"Renda Variavel","R$ 14,50",15/09/2021,08/09/2021,"0.58 %","0.70 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 11,68",15/09/2021,31/08/2021,"0.48 %","0.56 %","R$ 0,73"
MXRF11,"Renda Variavel","R$ 14,96",15/09/2021,31/08/2021,"0.77 %","0.80 %","R$ 0,08"
RBFF11,"Renda Variavel","R$ 4,70",15/09/2021,31/08/2021,"0.71 %","0.77 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 4,25",15/09/2021,31/08/2021,"0.75 %","0.77 %","R$ 0,85"
VINO11,"(Não atribuído)","R$ 7,54",15/09/2021,31/08/2021,"0.98 %","0.98 %","R$ 0,58"
XPLG11,"Renda Variavel","R$ 8,06",15/09/2021,31/08/2021,"0.54 %","0.59 %","R$ 0,62"
ITSA4,"(Não atribuído)","R$ 1,62",26/08/2021,25/03/2021,"0.17 %","0.22 %","R$ 0,02"
ITSA4,"(Não atribuído)","R$ 1,93",26/08/2021,09/03/2021,"0.14 %","0.19 %","R$ 0,01"
MORE11,"(Não atribuído)","R$ 4,90",19/08/2021,12/08/2021,"0.78 %","0.80 %","R$ 0,70"
BCFF11,"Renda Variavel","R$ 13,63",13/08/2021,06/08/2021,"0.55 %","0.62 %","R$ 0,47"
KNRI11,"Renda Variavel","R$ 8,97",13/08/2021,30/07/2021,"0.45 %","0.53 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 12,67",13/08/2021,30/07/2021,"0.67 %","0.68 %","R$ 0,07"
RBFF11,"Renda Variavel","R$ 4,70",13/08/2021,30/07/2021,"0.71 %","0.73 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 4,25",13/08/2021,30/07/2021,"0.75 %","0.74 %","R$ 0,85"
RECT11,"(Não atribuído)","R$ 7,00",13/08/2021,06/08/2021,"0.58 %","0.63 %","R$ 0,50"
VINO11,"(Não atribuído)","R$ 4,60",13/08/2021,30/07/2021,"0.77 %","0.77 %","R$ 0,46"
XPLG11,"Renda Variavel","R$ 7,44",13/08/2021,30/07/2021,"0.53 %","0.56 %","R$ 0,62"
MORE11,"(Não atribuído)","R$ 4,27",21/07/2021,14/07/2021,"0.68 %","0.68 %","R$ 0,61"
BCFF11,"Renda Variavel","R$ 13,05",15/07/2021,07/07/2021,"0.53 %","0.56 %","R$ 0,45"
MXRF11,"Renda Variavel","R$ 12,67",15/07/2021,30/06/2021,"0.67 %","0.69 %","R$ 0,07"
RBFF11,"Renda Variavel","R$ 3,29",15/07/2021,30/06/2021,"0.70 %","0.73 %","R$ 0,47"
RBVA11,"Renda Variavel","R$ 4,96",15/07/2021,30/06/2021,"1.10 %","1.10 %","R$ 1,24"
RECT11,"(Não atribuído)","R$ 8,40",15/07/2021,07/07/2021,"0.70 %","0.76 %","R$ 0,60"
VINO11,"(Não atribuído)","R$ 3,60",15/07/2021,30/06/2021,"0.75 %","0.76 %","R$ 0,45"
KNRI11,"Renda Variavel","R$ 8,28",14/07/2021,30/06/2021,"0.44 %","0.54 %","R$ 0,69"
XPLG11,"Renda Variavel","R$ 7,32",14/07/2021,30/06/2021,"0.52 %","0.58 %","R$ 0,61"
VIVT4,"(Não atribuído)","R$ 3,27",13/07/2021,30/06/2020,"0.90 %","0.97 %","R$ 0,47"
VIVT4,"(Não atribuído)","R$ 0,23",13/07/2021,31/03/2020,"0.14 %","0.16 %","R$ 0,08"
VIVT4,"(Não atribuído)","R$ 0,14",13/07/2021,28/02/2020,"0.24 %","0.26 %","R$ 0,14"
SAPR4,"(Não atribuído)","R$ 8,45",18/06/2021,30/12/2020,"1.65 %","1.66 %","R$ 0,08"
BCFF11,"Renda Variavel","R$ 13,00",15/06/2021,08/06/2021,"0.58 %","0.58 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 8,28",15/06/2021,31/05/2021,"0.43 %","0.53 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 11,97",15/06/2021,31/05/2021,"0.67 %","0.66 %","R$ 0,07"
RECT11,"(Não atribuído)","R$ 8,40",15/06/2021,08/06/2021,"0.70 %","0.74 %","R$ 0,60"
VINO11,"(Não atribuído)","R$ 3,60",15/06/2021,31/05/2021,"0.75 %","0.75 %","R$ 0,45"
XPLG11,"Renda Variavel","R$ 6,10",15/06/2021,31/05/2021,"0.51 %","0.54 %","R$ 0,61"
BCFF11,"Renda Variavel","R$ 11,50",14/05/2021,07/05/2021,"0.57 %","0.57 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 6,90",14/05/2021,30/04/2021,"0.42 %","0.51 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 10,88",14/05/2021,30/04/2021,"0.76 %","0.75 %","R$ 0,08"
RECT11,"(Não atribuído)","R$ 6,60",14/05/2021,07/05/2021,"0.68 %","0.76 %","R$ 0,60"
VINO11,"(Não atribuído)","R$ 1,35",14/05/2021,30/04/2021,"0.76 %","0.74 %","R$ 0,45"
XPLG11,"Renda Variavel","R$ 4,80",14/05/2021,30/04/2021,"0.50 %","0.52 %","R$ 0,60"
BCFF11,"Renda Variavel","R$ 12,88",15/04/2021,08/04/2021,"0.64 %","0.65 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 6,90",15/04/2021,31/03/2021,"0.42 %","0.50 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 10,88",15/04/2021,31/03/2021,"0.76 %","0.77 %","R$ 0,08"
RECT11,"(Não atribuído)","R$ 4,20",15/04/2021,08/04/2021,"0.67 %","0.68 %","R$ 0,60"
VINO11,"(Não atribuído)","R$ 1,35",15/04/2021,31/03/2021,"0.76 %","0.73 %","R$ 0,45"
XPLG11,"Renda Variavel","R$ 4,72",15/04/2021,31/03/2021,"0.49 %","0.51 %","R$ 0,59"
ITSA4,"(Não atribuído)","R$ 2,74",01/04/2021,26/02/2021,"0.21 %","0.29 %","R$ 0,02"
BCFF11,"Renda Variavel","R$ 11,20",12/03/2021,05/03/2021,"0.64 %","0.62 %","R$ 0,56"
ITSA4,"(Não atribuído)","R$ 2,28",12/03/2021,22/01/2021,"0.18 %","0.23 %","R$ 0,02"
ITSA4,"(Não atribuído)","R$ 11,14",12/03/2021,10/12/2020,"0.90 %","1.08 %","R$ 0,09"
KNRI11,"Renda Variavel","R$ 6,90",12/03/2021,26/02/2021,"0.42 %","0.48 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 9,76",12/03/2021,26/02/2021,"0.76 %","0.74 %","R$ 0,08"
RECT11,"(Não atribuído)","R$ 3,60",12/03/2021,05/03/2021,"0.79 %","0.83 %","R$ 0,72"
VINO11,"(Não atribuído)","R$ 1,35",12/03/2021,26/02/2021,"0.76 %","0.73 %","R$ 0,45"
XPLG11,"Renda Variavel","R$ 3,48",12/03/2021,26/02/2021,"0.48 %","0.48 %","R$ 0,58"
BCFF11,"Renda Variavel","R$ 11,20",12/02/2021,05/02/2021,"0.64 %","0.61 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 6,21",12/02/2021,29/01/2021,"0.42 %","0.48 %","R$ 0,69"
MXRF11,"Renda Variavel","R$ 9,76",12/02/2021,29/01/2021,"0.76 %","0.75 %","R$ 0,08"
RECT11,"(Não atribuído)","R$ 2,16",12/02/2021,05/02/2021,"0.77 %","0.75 %","R$ 0,72"
VINO11,"(Não atribuído)","R$ 1,35",12/02/2021,29/01/2021,"0.76 %","0.71 %","R$ 0,45"
XPLG11,"Renda Variavel","R$ 3,48",12/02/2021,29/01/2021,"0.48 %","0.48 %","R$ 0,58"
BCFF11,"Renda Variavel","R$ 10,60",15/01/2021,08/01/2021,"0.61 %","0.56 %","R$ 0,53"
KNRI11,"Renda Variavel","R$ 5,85",15/01/2021,30/12/2020,"0.39 %","0.45 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 8,54",15/01/2021,30/12/2020,"0.66 %","0.67 %","R$ 0,07"
RECT11,"(Não atribuído)","R$ 2,16",15/01/2021,08/01/2021,"0.77 %","0.74 %","R$ 0,72"
VINO11,"(Não atribuído)","R$ 1,26",15/01/2021,30/12/2020,"0.71 %","0.66 %","R$ 0,42"
XPLG11,"Renda Variavel","R$ 3,60",15/01/2021,30/12/2020,"0.49 %","0.48 %","R$ 0,60"
ITSA4,"(Não atribuído)","R$ 2,58",04/01/2021,30/11/2020,"0.21 %","0.27 %","R$ 0,02"
TAEE4,"(Não atribuído)","R$ 0,89",28/12/2020,15/12/2020,"0.47 %","0.40 %","R$ 0,04"
BCFF11,"Renda Variavel","R$ 10,60",14/12/2020,07/12/2020,"0.61 %","0.59 %","R$ 0,53"
KNRI11,"Renda Variavel","R$ 5,85",14/12/2020,30/11/2020,"0.39 %","0.46 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 6,12",14/12/2020,30/11/2020,"0.56 %","0.57 %","R$ 0,06"
XPLG11,"Renda Variavel","R$ 2,90",14/12/2020,30/11/2020,"0.48 %","0.45 %","R$ 0,58"
VIVT4,"(Não atribuído)","R$ 8,04",09/12/2020,28/05/2020,"2.55 %","2.94 %","R$ 1,34"
TAEE4,"(Não atribuído)","R$ 7,94",25/11/2020,16/11/2020,"4.18 %","3.47 %","R$ 0,40"
TAEE4,"(Não atribuído)","R$ 0,96",25/11/2020,16/11/2020,"0.51 %","0.42 %","R$ 0,05"
BCFF11,"Renda Variavel","R$ 10,00",16/11/2020,09/11/2020,"0.57 %","0.56 %","R$ 0,50"
KNRI11,"Renda Variavel","R$ 5,85",16/11/2020,30/10/2020,"0.39 %","0.46 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 6,12",16/11/2020,30/10/2020,"0.56 %","0.58 %","R$ 0,06"
XPLG11,"Renda Variavel","R$ 2,90",13/11/2020,30/10/2020,"0.48 %","0.45 %","R$ 0,58"
BCFF11,"Renda Variavel","R$ 8,55",15/10/2020,07/10/2020,"0.52 %","0.50 %","R$ 0,45"
KNRI11,"Renda Variavel","R$ 5,20",15/10/2020,30/09/2020,"0.39 %","0.45 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 4,90",15/10/2020,30/09/2020,"0.65 %","0.64 %","R$ 0,07"
XPLG11,"Renda Variavel","R$ 2,90",15/10/2020,30/09/2020,"0.48 %","0.43 %","R$ 0,58"
ITSA4,"(Não atribuído)","R$ 1,54",01/10/2020,31/08/2020,"0.20 %","0.31 %","R$ 0,02"
ENBR3,"(Não atribuído)","R$ 1,55",23/09/2020,31/03/2020,"0.93 %","1.27 %","R$ 0,19"
BCFF11,"Renda Variavel","R$ 8,55",15/09/2020,08/09/2020,"0.52 %","0.49 %","R$ 0,45"
KNRI11,"Renda Variavel","R$ 5,20",15/09/2020,31/08/2020,"0.39 %","0.45 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 4,27",15/09/2020,31/08/2020,"0.65 %","0.66 %","R$ 0,07"
XPLG11,"Renda Variavel","R$ 2,32",15/09/2020,31/08/2020,"0.48 %","0.46 %","R$ 0,58"
ITSA4,"(Não atribuído)","R$ 1,10",26/08/2020,17/08/2020,"0.20 %","0.30 %","R$ 0,02"
TAEE4,"(Não atribuído)","R$ 4,69",26/08/2020,17/08/2020,"2.25 %","2.20 %","R$ 0,21"
TAEE4,"(Não atribuído)","R$ 1,06",26/08/2020,17/08/2020,"0.51 %","0.50 %","R$ 0,05"
BCFF11,"Renda Variavel","R$ 8,55",14/08/2020,07/08/2020,"0.52 %","0.53 %","R$ 0,45"
KNRI11,"Renda Variavel","R$ 5,20",14/08/2020,31/07/2020,"0.39 %","0.41 %","R$ 0,65"
MXRF11,"Renda Variavel","R$ 1,40",14/08/2020,31/07/2020,"0.64 %","0.64 %","R$ 0,07"
XPLG11,"Renda Variavel","R$ 2,32",14/08/2020,31/07/2020,"0.48 %","0.46 %","R$ 0,58"
XPLG11,"Renda Variavel","R$ 2,28",15/07/2020,30/06/2020,"0.48 %","0.44 %","R$ 0,57"
BCFF11,"Renda Variavel","R$ 2,40",14/07/2020,07/07/2020,"0.44 %","0.44 %","R$ 0,40"
KNRI11,"Renda Variavel","R$ 2,60",14/07/2020,30/06/2020,"0.38 %","0.38 %","R$ 0,65"
ITSA4,"(Não atribuído)","R$ 1,38",01/07/2020,29/05/2020,"0.20 %","0.33 %","R$ 0,02"
BCFF11,"Renda Variavel","R$ 3,20",15/06/2020,05/06/2020,"0.45 %","0.44 %","R$ 0,40"
KNRI11,"Renda Variavel","R$ 2,60",15/06/2020,29/05/2020,"0.38 %","0.38 %","R$ 0,65"
XPLG11,"Renda Variavel","R$ 2,16",15/06/2020,29/05/2020,"0.45 %","0.47 %","R$ 0,54"
HGRU11,"(Não atribuído)","R$ 2,04",12/06/2020,29/05/2020,"0.59 %","0.59 %","R$ 0,68"
BCFF11,"Renda Variavel","R$ 2,80",15/05/2020,08/05/2020,"0.45 %","0.47 %","R$ 0,40"
BPAN4,"(Não atribuído)","R$ 0,05",15/05/2020,06/05/2020,"0.05 %","0.05 %","R$ 0,00"
KNRI11,"Renda Variavel","R$ 2,60",15/05/2020,30/04/2020,"0.38 %","0.41 %","R$ 0,65"
XPLG11,"Renda Variavel","R$ 2,16",15/05/2020,30/04/2020,"0.45 %","0.48 %","R$ 0,54"
TRPL4,"(Não atribuído)","R$ 4,46",29/04/2020,16/04/2020,"0.92 %","1.02 %","R$ 0,19"
BCFF11,"Renda Variavel","R$ 0,80",15/04/2020,07/04/2020,"0.38 %","0.51 %","R$ 0,40"
KNRI11,"Renda Variavel","R$ 1,95",15/04/2020,31/03/2020,"0.36 %","0.43 %","R$ 0,65"
XPLG11,"Renda Variavel","R$ 1,16",14/04/2020,31/03/2020,"0.44 %","0.56 %","R$ 0,58"
ITSA4,"(Não atribuído)","R$ 0,28",01/04/2020,28/02/2020,"0.16 %","0.24 %","R$ 0,02"
BCFF11,"Renda Variavel","R$ 1,06",13/03/2020,06/03/2020,"0.50 %","0.54 %","R$ 0,53"
KNRI11,"Renda Variavel","R$ 2,22",13/03/2020,28/02/2020,"0.41 %","0.43 %","R$ 0,74"
XPLG11,"Renda Variavel","R$ 1,28",13/03/2020,28/02/2020,"0.48 %","0.50 %","R$ 0,64"
ITSA4,"(Não atribuído)","R$ 3,16",06/03/2020,20/02/2020,"1.76 %","2.57 %","R$ 0,23"
ITSA4,"(Não atribuído)","R$ 2,58",06/03/2020,20/02/2020,"1.44 %","2.10 %","R$ 0,18"
BPAN4,"(Não atribuído)","R$ 0,27",28/02/2020,14/02/2020,"1.38 %","1.44 %","R$ 0,14"
XPML11,"(Não atribuído)","R$ 1,00",21/02/2020,14/02/2020,"0.36 %","0.36 %","R$ 0,50"
BCFF11,"Renda Variavel","R$ 1,14",14/02/2020,07/02/2020,"0.54 %","0.56 %","R$ 0,57"
KNRI11,"Renda Variavel","R$ 0,74",14/02/2020,31/01/2020,"0.41 %","0.41 %","R$ 0,74"
XPLG11,"Renda Variavel","R$ 0,64",14/02/2020,31/01/2020,"0.47 %","0.47 %","R$ 0,64"
XPML11,"(Não atribuído)","R$ 0,61",24/01/2020,17/01/2020,"0.43 %","0.43 %","R$ 0,61"
